[0m[ INFO] [1783240828.630340314]: Mower SN: HL-G-0001[0m
[2026-07-05 17:20:10] 当前点: 9.13053 -5.19452 -2.44742
[2026-07-05 17:20:10] 当前点: 9.13052 -5.19446 -2.44742
[2026-07-05 17:20:10] 当前点: 9.13049 -5.19397 -2.44742
[2026-07-05 17:20:10] 当前点: 9.13052 -5.19387 -2.44742
[2026-07-05 17:20:10] 当前点: 9.13055 -5.19392 -2.44742
[2026-07-05 17:20:10] 当前点: 9.13057 -5.19386 -2.44742
[2026-07-05 17:20:11] 当前点: 9.1303 -5.19358 -2.44742
[2026-07-05 17:20:11] 当前点: 9.13027 -5.19356 -2.44742
[2026-07-05 17:20:11] 当前点: 9.13034 -5.19355 -2.44742
[2026-07-05 17:20:11] 当前点: 9.13033 -5.19355 -2.44742
[2026-07-05 17:20:11] 当前点: 9.12778 -5.19275 -2.44741
[2026-07-05 17:20:11] 当前点: 9.12768 -5.19274 -2.44741
[2026-07-05 17:20:11] 当前点: 9.12605 -5.19251 -2.44739
[2026-07-05 17:20:11] 当前点: 9.12589 -5.19248 -2.44739
[2026-07-05 17:20:11] 当前点: 9.12425 -5.19273 -2.44739
[2026-07-05 17:20:11] 当前点: 9.12404 -5.19273 -2.44739
[2026-07-05 17:20:12] 当前点: 9.12319 -5.19312 -2.44739
[2026-07-05 17:20:12] 当前点: 9.12299 -5.19315 -2.44739
[2026-07-05 17:20:12] 当前点: 9.12202 -5.19343 -2.44739
[2026-07-05 17:20:12] 当前点: 9.1218 -5.19345 -2.44739
[2026-07-05 17:20:12] 当前点: 9.12139 -5.19326 -2.44739
[2026-07-05 17:20:12] 当前点: 9.12121 -5.19328 -2.44739
[2026-07-05 17:20:12] 当前点: 9.12101 -5.19322 -2.44739
[2026-07-05 17:20:12] 当前点: 9.1209 -5.19327 -2.44739
[2026-07-05 17:20:12] 当前点: 9.12044 -5.19305 -2.44739
[2026-07-05 17:20:12] 当前点: 9.12032 -5.19307 -2.44739
[2026-07-05 17:20:13] 当前点: 9.1199 -5.19249 -2.44739
[2026-07-05 17:20:13] 当前点: 9.11982 -5.19245 -2.44739
[2026-07-05 17:20:13] 当前点: 9.11996 -5.19237 -2.44739
[2026-07-05 17:20:13] 当前点: 9.11991 -5.19233 -2.44739
[2026-07-05 17:20:13] 当前点: 9.11993 -5.19227 -2.44739
[2026-07-05 17:20:13] 当前点: 9.1199 -5.19222 -2.4474
[2026-07-05 17:20:13] 当前点: 9.12001 -5.19218 -2.4474
[2026-07-05 17:20:13] 当前点: 9.12 -5.19218 -2.4474
[2026-07-05 17:20:13] 当前点: 9.12026 -5.19236 -2.4474
[2026-07-05 17:20:13] 当前点: 9.12026 -5.19234 -2.4474
[2026-07-05 17:20:14] 当前点: 9.12012 -5.19198 -2.4474
[2026-07-05 17:20:14] 当前点: 9.1201 -5.19194 -2.4474
[2026-07-05 17:20:14] 当前点: 9.12015 -5.19182 -2.4474
[2026-07-05 17:20:14] 当前点: 9.12016 -5.19177 -2.44741
[2026-07-05 17:20:14] 当前点: 9.12068 -5.19205 -2.44741
[2026-07-05 17:20:14] 当前点: 9.12068 -5.19196 -2.44741
[2026-07-05 17:20:14] 当前点: 9.12132 -5.19225 -2.44742
[2026-07-05 17:20:14] 当前点: 9.12139 -5.19222 -2.44742
[2026-07-05 17:20:14] 当前点: 9.12213 -5.19307 -2.44743
[2026-07-05 17:20:14] 当前点: 9.12225 -5.19308 -2.44743
[2026-07-05 17:20:15] 当前点: 9.12254 -5.19313 -2.44743
[2026-07-05 17:20:15] 当前点: 9.12269 -5.19318 -2.44743
[2026-07-05 17:20:15] 当前点: 9.1228 -5.19353 -2.44743
[2026-07-05 17:20:15] 当前点: 9.12289 -5.19357 -2.44743
[2026-07-05 17:20:15] 当前点: 9.12318 -5.19391 -2.44743
[2026-07-05 17:20:15] 当前点: 9.1233 -5.19393 -2.44743
[2026-07-05 17:20:15] 当前点: 9.12324 -5.19341 -2.44742
[2026-07-05 17:20:15] 当前点: 9.12334 -5.19337 -2.44742
[2026-07-05 17:20:15] 当前点: 9.12416 -5.19486 -2.44743
[2026-07-05 17:20:15] 当前点: 9.1243 -5.1949 -2.44743
[2026-07-05 17:20:16] 当前点: 9.12499 -5.19621 -2.44745
[2026-07-05 17:20:16] 当前点: 9.12512 -5.1963 -2.44744
[2026-07-05 17:20:16] 当前点: 9.12599 -5.19762 -2.44746
[2026-07-05 17:20:16] 当前点: 9.12615 -5.19777 -2.44746
[2026-07-05 17:20:16] 当前点: 9.12623 -5.19835 -2.44746
[2026-07-05 17:20:16] 当前点: 9.12634 -5.19849 -2.44746
[2026-07-05 17:20:16] 当前点: 9.12688 -5.1991 -2.44746
[2026-07-05 17:20:16] 当前点: 9.12702 -5.19927 -2.44746
[2026-07-05 17:20:16] 当前点: 9.12763 -5.20013 -2.44747
[2026-07-05 17:20:16] 当前点: 9.12775 -5.20029 -2.44747
[2026-07-05 17:20:17] 当前点: 9.12737 -5.20004 -2.44746
[2026-07-05 17:20:17] 当前点: 9.12745 -5.20012 -2.44746
[2026-07-05 17:20:17] 当前点: 9.12767 -5.20029 -2.44746
[2026-07-05 17:20:17] 当前点: 9.14289 -5.19413 -2.44733
[2026-07-05 17:20:17] 当前点: 9.1394 -5.20025 -2.44742
[2026-07-05 17:20:17] 当前点: 9.13641 -5.19983 -2.44707
[2026-07-05 17:20:18] 当前点: 9.13726 -5.196 -2.4472
[2026-07-05 17:20:18] 当前点: 9.13716 -5.19511 -2.44775
[2026-07-05 17:20:18] 当前点: 9.13824 -5.19435 -2.44718
[2026-07-05 17:20:18] 当前点: 9.13386 -5.19775 -2.44708
[2026-07-05 17:20:18] 当前点: 9.1367 -5.20233 -2.44698
[2026-07-05 17:20:18] 当前点: 9.13502 -5.20447 -2.44702
[2026-07-05 17:20:18] 当前点: 9.13436 -5.20072 -2.44686
[2026-07-05 17:20:18] 当前点: 9.13237 -5.19881 -2.44727
[2026-07-05 17:20:18] 当前点: 9.13458 -5.19704 -2.44674
[2026-07-05 17:20:18] 当前点: 9.13416 -5.19645 -2.44675
[2026-07-05 17:20:19] 当前点: 9.13296 -5.19435 -2.44761
[2026-07-05 17:20:19] 当前点: 9.1334 -5.19581 -2.44664
[2026-07-05 17:20:19] 当前点: 9.1345 -5.19421 -2.44701
[2026-07-05 17:20:19] 当前点: 9.1322 -5.19331 -2.44675
[2026-07-05 17:20:19] 当前点: 9.13212 -5.19459 -2.44721
[2026-07-05 17:20:19] 当前点: 9.13009 -5.19489 -2.44665
[2026-07-05 17:20:19] 当前点: 9.13342 -5.1958 -2.44705
[2026-07-05 17:20:19] 当前点: 9.13036 -5.19647 -2.44678
[2026-07-05 17:20:19] 当前点: 9.12954 -5.20308 -2.44717
[2026-07-05 17:20:19] 当前点: 9.13403 -5.20201 -2.44712
[2026-07-05 17:20:20] 当前点: 9.13355 -5.20066 -2.44759
[2026-07-05 17:20:45] 当前点: 7.05965 -10.3697 -0.662001
[2026-07-05 17:20:45] 当前点: 7.05608 -10.3689 -0.66193
[2026-07-05 17:20:45] 当前点: 7.05837 -10.3703 -0.661494
[2026-07-05 17:20:45] 当前点: 7.05493 -10.3698 -0.661138
[2026-07-05 17:20:45] 当前点: 7.05703 -10.3712 -0.661104
[2026-07-05 17:20:46] 当前点: 7.05199 -10.3685 -0.660503
[2026-07-05 17:20:46] 当前点: 7.05344 -10.3697 -0.660527
[2026-07-05 17:20:46] 当前点: 7.05391 -10.3665 -0.659766
[2026-07-05 17:20:46] 当前点: 7.05502 -10.3676 -0.659664
[2026-07-05 17:20:46] 当前点: 7.05409 -10.3634 -0.658963
[2026-07-05 17:20:46] 当前点: 7.05446 -10.3641 -0.658773
[2026-07-05 17:20:46] 当前点: 7.04672 -10.3699 -0.660793
[2026-07-05 17:20:46] 当前点: 7.0454 -10.3733 -0.660618
[2026-07-05 17:20:46] 当前点: 7.04545 -10.3736 -0.661956
[2026-07-05 17:20:46] 当前点: 7.05834 -10.3838 -0.675832
[2026-07-05 17:20:47] 当前点: 7.07952 -10.4022 -0.679807
[2026-07-05 17:20:47] 当前点: 7.11429 -10.4314 -0.689041
[2026-07-05 17:20:47] 当前点: 7.14392 -10.4533 -0.695408
[2026-07-05 17:20:47] 当前点: 7.14415 -10.4563 -0.708524
[2026-07-05 17:20:47] 当前点: 7.13901 -10.4529 -0.698767
[2026-07-05 17:20:47] 当前点: 7.13987 -10.4521 -0.701772
[2026-07-05 17:20:47] 当前点: 7.11469 -10.4112 -0.713072
[2026-07-05 17:20:47] 当前点: 7.10016 -10.3958 -0.721063
[2026-07-05 17:20:47] 当前点: 7.1159 -10.4121 -0.719075
[2026-07-05 17:20:47] 当前点: 7.09689 -10.3968 -0.721394
[2026-07-05 17:20:48] 当前点: 7.11805 -10.4154 -0.721147
[2026-07-05 17:20:48] 当前点: 7.10073 -10.4019 -0.720561
[2026-07-05 17:20:48] 当前点: 7.12087 -10.4171 -0.721196
[2026-07-05 17:20:48] 当前点: 7.10513 -10.4031 -0.721886
[2026-07-05 17:20:48] 当前点: 7.12338 -10.4199 -0.719858
[2026-07-05 17:20:48] 当前点: 7.10876 -10.406 -0.720608
[2026-07-05 17:20:48] 当前点: 7.14293 -10.4375 -0.719173
[2026-07-05 17:20:48] 当前点: 7.15367 -10.4446 -0.725819
[2026-07-05 17:20:48] 当前点: 7.18241 -10.4695 -0.729087
[2026-07-05 17:20:48] 当前点: 7.21212 -10.4963 -0.72633
[2026-07-05 17:20:49] 当前点: 7.26459 -10.5358 -0.725854
[2026-07-05 17:20:49] 当前点: 7.31385 -10.5792 -0.718288
[2026-07-05 17:20:49] 当前点: 7.38355 -10.6362 -0.717861
[2026-07-05 17:20:49] 当前点: 7.45413 -10.6963 -0.713667
[2026-07-05 17:20:49] 当前点: 7.5474 -10.7713 -0.709437
[2026-07-05 17:20:49] 当前点: 7.6394 -10.8472 -0.704671
[2026-07-05 17:20:49] 当前点: 7.74835 -10.9383 -0.704874
[2026-07-05 17:20:49] 当前点: 7.85464 -11.0241 -0.733269
[2026-07-05 17:20:49] 当前点: 7.95969 -11.1172 -0.783012
[2026-07-05 17:20:49] 当前点: 8.05831 -11.2166 -0.844126
[2026-07-05 17:20:50] 当前点: 8.15262 -11.3222 -0.910674
[2026-07-05 17:20:50] 当前点: 8.23887 -11.435 -0.974093
[2026-07-05 17:20:50] 当前点: 8.31955 -11.5534 -1.03928
[2026-07-05 17:20:50] 当前点: 8.39467 -11.6755 -1.10638
[2026-07-05 17:20:50] 当前点: 8.46444 -11.8032 -1.17083
[2026-07-05 17:20:50] 当前点: 8.52402 -11.933 -1.23925
[2026-07-05 17:20:50] 当前点: 8.57857 -12.061 -1.30058
[2026-07-05 17:20:50] 当前点: 8.61938 -12.1968 -1.36797
[2026-07-05 17:20:50] 当前点: 8.63348 -12.2628 -1.40205
[2026-07-05 17:20:50] 当前点: 8.67397 -12.4734 -1.50311
